seed,lr_initial,lr_final,lr_decay,lr_steps,lr_type,explore_initial,explore_final,explore_decay,explore_steps,explore_type,discount,batch_size,memory,max,max_group,hit_goal,eval_mean,eval_std,eval_hit_pct,120,240,360,480,600,720,840,960,1080,1200,1320,1440,1560,1680,1800,1920,2040,2160,2280,2400,2520,2640,2760,2880,3000
758100,0.000561275001099509,5.2244603052393326e-06,0.9922096679063244,598,linear,0.18552188131377495,0.024172453802442317,0.9989649876610769,1968,exponential,0.9885201702405564,32,100000,318.95162613758765,267.8469563127974,1000,233.6013277427436,52.68108400054586,80.0,-134.8633410825921,21.62332821155761,-30.323898871037585,-57.39091515477013,-64.78616106575589,-31.41044190455163,-43.40827366175261,5.879658451533503,-27.037955709806678,25.466408778793408,125.33246269381162,179.48176971502804,213.54167925111588,236.47608061682516,240.4242051313037,251.88481288140912,263.65978867249214,263.7298124812388,260.74098438336273,265.2290410616206,266.71525619610776,267.1034143266144,267.8469563127974,260.7038562871582,249.76603539117443,19.605235435261637
758114,0.002745160506077212,5.988447840921129e-06,0.9970540529126102,2077,linear,0.05381481732062614,0.006643003827547152,0.9973753291316363,796,exponential,0.9998767186018424,64,200000,326.40537253522234,259.47882552954803,763,236.44703011306632,76.34650173787789,80.0,-208.8932526245008,-73.778459724877,-56.85430211228189,-139.7750612530275,-140.2378231450735,-130.01326032865464,-110.40312836829517,-100.07644245005487,-54.724698919673386,-22.516428653720325,16.197686902510096,74.00104283846076,124.8531942100501,200.73856157438533,241.20835033805787,235.99756482703384,210.27978553303032,223.78943449191266,245.10184601968587,257.4294065143986,259.47882552954803,241.78816190757556,246.60247058057612,223.2106695368535,233.11461259639694
758129,0.005948156934938888,3.856776261956017e-06,0.9960225862008304,1842,linear,0.07499265212906732,0.023775443843806858,0.9994220408319718,1987,exponential,0.99902084216206,128,100000,316.0556003147816,263.9868414850445,1315,255.98702711838752,34.11627171032667,84.0,-62.56019592077283,-31.97820420113215,-71.00124550680118,-13.56795072619728,30.333319440425363,25.396909043183605,61.95850009852436,99.47990151581772,134.80495987938167,183.62797125121702,187.6851497787571,218.6512557387297,236.5505785380967,214.80254610296555,216.3043579560235,209.38032829529695,201.94242206529444,226.47734871639832,245.41382388987455,250.92773999505462,245.5364066713391,252.46569284925457,257.15295292465584,254.66891179306236,263.9868414850445,69.87664960538349
758141,0.009101717917082381,5.4427117346765735e-06,0.9969377804032286,2420,linear,0.29482162271658746,0.001053275398387103,0.9978542057177614,2623,exponential,0.9835759112183147,128,200000,316.79681022849076,253.37441789072096,770,244.59646653926603,33.31611219060238,92.0,-85.06244527672165,-18.94254013168814,-0.8578255751692283,-2.9719183855118296,-10.714114251165832,-7.9529830772828785,-8.356166996848112,36.68161302356507,87.52628157047728,128.80746020108592,105.74878935850725,144.08233717118088,147.7842474882087,144.27643874267736,173.23230791564404,158.87265892870082,189.4486811704602,201.40573036490616,224.95991757393992,239.0988661336289,242.33944916208563,240.69919308076493,247.59037359571272,247.4264129085217,253.37441789072096,95.02554412657787
